SatName,Plane_ID,Sequence_Order,Inclination,RAAN,Arg_Lat,Mean_Motion
STARLINK-35816,46,1,43.012503399489816,76.34218279992444,31.955033337363215,15.05024913
STARLINK-35917,46,2,42.98539638627048,76.097391391952,109.89775257581022,15.12654055
STARLINK-35696,46,3,43.01914189416461,75.96393699080758,173.59689523353384,15.088399260000001
STARLINK-30905,46,4,43.022531014649445,75.69496425757315,180.89777946381392,15.088387350000001
STARLINK-35673,46,5,43.0197196036438,75.94833005525608,187.70483167529028,15.08838759
STARLINK-30852,46,6,43.02053870385749,75.67620034830843,195.03983235957853,15.088444420000002
STARLINK-30903,46,7,43.017085284666116,75.70453881891478,202.05103300500878,15.08828105
STARLINK-35832,46,8,43.01181616205612,75.91092625569313,208.82232800545566,15.088373340000002
STARLINK-30907,46,9,43.00874182229627,75.66704382989273,216.20937407241897,15.08833732
STARLINK-35444,46,10,43.00140889424579,75.87111472856242,223.10929319416957,15.08838659
STARLINK-30888,46,11,43.00058258637517,75.62942263803338,230.326860904934,15.088671839999998
STARLINK-30858,46,12,42.99397490558039,75.62380166590725,237.41316068776288,15.088372859999998
STARLINK-35515,46,13,42.98919480347702,75.8200321055087,244.28908255486596,15.088343019999998
STARLINK-30519,46,14,42.98979758909987,76.16768789735913,251.0115832736011,15.088353690000002
STARLINK-30832,46,15,42.986136109387665,76.40637551016326,257.8365642663906,15.08838085
STARLINK-35899,46,16,42.98161282786321,75.74832243778364,265.4309288304108,15.088438130000002
STARLINK-35693,46,17,42.981039146772844,75.73113703845634,272.5669575630464,15.088598680000002
STARLINK-30508,46,18,42.986200792090564,76.07383913301834,279.2830377601963,15.088393109999998
STARLINK-34774,46,19,42.98398413072659,75.68494831979548,286.7490615995325,15.088354419999998
STARLINK-34844,46,20,42.98977287220947,75.65846672375282,293.7879298578747,15.088358839999998
STARLINK-30511,46,21,42.99471700790866,76.01252819874077,300.57034361695014,15.0887138
STARLINK-34733,46,22,43.00128883802612,75.61789344372104,307.9253794351507,15.08836353
STARLINK-30884,46,23,43.01298330081747,76.23416709766298,314.4226740798884,15.08825953
STARLINK-30859,46,24,43.01265931354312,76.19175353655316,321.4460480697596,15.08840322
STARLINK-34766,46,25,43.01319018665481,75.5666984593593,329.30950049261463,15.088379549999999
STARLINK-30509,46,26,43.021215561832754,75.93107483856127,335.8323645920274,15.08837951
STARLINK-31712,46,27,43.02447319229989,76.41832010712145,342.4026626531959,15.088418040000002
STARLINK-31670,46,28,43.02101194552711,76.43131984130584,349.51432295697896,15.088371049999997
STARLINK-30870,46,29,43.022210565257744,76.15989279685836,356.7366297700768,15.088424689999998
STARLINK-5721,47,1,43.022623446005355,79.0849520230603,0.4728393789955465,15.088378360000002
STARLINK-5743,47,2,43.022619822300186,79.10029921864893,2.951937539566242,15.08834941
STARLINK-30507,47,3,43.01704537573231,79.27062150589161,20.875338042917424,15.088413430000001
STARLINK-5712,47,4,43.01746271521313,79.05575459063756,22.48281758993767,15.092248920000001
STARLINK-30510,47,5,43.0047444072749,79.22862439783314,42.19786723482316,15.088360290000002
STARLINK-30878,47,6,43.00680348999123,79.19183172240456,143.58998610730293,15.08838917
STARLINK-35894,47,7,43.02191096765806,79.41226058775416,183.2510273683294,15.088543420000002
STARLINK-5725,47,8,43.01409610465624,79.47408227078034,211.3263806120885,15.088304260000001
STARLINK-5702,47,9,43.00487892483915,79.43463378554982,228.59779959763517,15.08832455
STARLINK-5755,47,10,42.998480778353255,79.42564905369174,232.67820229554638,15.08835268
STARLINK-5718,47,11,42.989435994836334,79.36989174562088,251.8975195187254,15.088443439999999
STARLINK-5735,47,12,42.98613895026729,79.3703061817047,253.89665840183574,15.088350080000001
STARLINK-5717,47,13,42.98635047557891,79.35221192628565,257.15562976171316,15.08837822
STARLINK-5710,47,14,42.99102158792387,79.23932645201269,291.0209715588506,15.08833142
STARLINK-5709,47,15,43.00413726518889,79.17932689824313,311.0534296342658,15.08839135
STARLINK-30516,47,16,43.01847314293951,79.33269444088765,338.54629815277735,15.08838378
STARLINK-30515,47,17,43.02083328364017,79.29501597155084,359.8475215813919,15.08843133
STARLINK-34141,50,1,43.01849677775003,83.32535018544121,1.9006419729585189,15.088394930000002
STARLINK-34162,50,2,43.011658638677176,83.29414834633698,23.11153475133592,15.0883661
STARLINK-34154,50,3,42.98897823912311,83.2261233327525,58.52104490401022,15.088368889999998
STARLINK-34152,50,4,42.98377887563659,83.17729632361637,72.75123948803792,15.0884002
STARLINK-33936,50,5,42.98017937974613,83.12910923659173,86.85247916048513,15.088396440000002
STARLINK-34161,50,6,42.979748813934265,83.09606466400996,93.9530576799644,15.088455139999999
STARLINK-34158,50,7,42.982311362405035,83.12374416381826,100.9809326132313,15.088347560000003
STARLINK-34169,50,8,42.981429341144775,83.05758704708778,108.11478467029276,15.08841492
STARLINK-34093,50,9,42.987624240988595,83.02805121732567,115.21244612436868,15.0882575
STARLINK-34062,50,10,42.99116199600214,83.00596874980204,122.25062872567308,15.08841351
STARLINK-33759,50,11,42.99707490963634,82.9910069934081,129.3708730387755,15.088391030000002
STARLINK-34077,50,12,43.003900042941986,82.97564678767048,136.44845507856883,15.08842862
STARLINK-34016,50,13,43.00697376220789,82.95381111424334,143.53893793882222,15.08840261
STARLINK-34078,50,14,43.012133652489815,82.94266619941536,150.70204615170738,15.08872425
STARLINK-34165,50,15,43.02005852327878,82.92785468499429,164.73139879641698,15.08866075
STARLINK-33931,50,16,43.022306537480745,82.89314393083365,185.97410178494067,15.088405640000001
STARLINK-33928,50,17,43.021000295841866,82.88553624631422,193.03228250238774,15.088371380000002
STARLINK-34193,50,18,42.98590066244151,83.48246116720523,291.2129307725848,15.08837335
STARLINK-34150,50,19,42.994176675800524,83.44624947045733,305.36794893790193,15.088393580000002
STARLINK-34163,50,20,43.00715647898179,83.38912416024984,326.55691941981587,15.088394759999998
STARLINK-34155,50,21,43.01945735965806,83.35413837845681,340.6989499540812,15.088454889999998
STARLINK-33758,50,22,43.018514744290805,83.34403411244487,354.82590793757186,15.08839864
STARLINK-30270,52,1,43.01625838982148,86.62216419405233,18.83498621582583,15.08836833
STARLINK-30579,52,2,42.995964826149006,86.55945599329434,54.19661775336838,15.12149157
STARLINK-30269,52,3,42.98806238030505,87.34162441832699,74.65572580866458,15.08856952
STARLINK-30268,52,4,42.982287180912174,87.26064863730204,95.93515187620444,15.088295909999998
STARLINK-30256,52,5,42.991425858838,87.17473940259235,117.20098922020881,15.088333779999997
STARLINK-32941,52,6,43.004762857893944,86.66152458645418,138.8359435215267,15.088370239999998
STARLINK-30261,52,7,43.01858732724903,87.08498249901555,159.64824762084558,15.08834871
STARLINK-30250,52,8,43.025077395713915,87.06339617982097,173.83035109183132,15.08855739
STARLINK-30253,52,9,43.02162353486985,87.03932878331297,195.08338161118957,15.08831216
STARLINK-30257,52,10,43.00992085930132,87.0253555685955,216.24079218387232,15.088469230000001
STARLINK-30259,52,11,42.995461307256726,86.94728769076313,237.4345700711756,15.088402939999998
STARLINK-30260,52,12,42.98351124472108,86.89870872862087,258.64414402248724,15.08827026
STARLINK-30169,52,13,42.98649758242699,87.14873973353669,293.641070283128,15.088416359999998
STARLINK-31666,52,14,43.002417928251,87.28151716599479,314.61514195623624,15.101249180000002
STARLINK-30266,52,15,43.013638653429695,86.66641838352724,336.45624544257953,15.14402185
STARLINK-30251,52,16,43.02187169185709,86.64388267417388,357.622703206133,15.088410729999998
STARLINK-32955,54,1,42.98836394358597,90.37705766732425,54.02412070266666,15.08836728
STARLINK-5750,54,2,42.99600081971504,90.25795418798707,56.59009801491112,15.08843607
STARLINK-5759,54,3,42.98591746946192,90.18767035614262,77.90239147483763,15.08840202
STARLINK-5742,54,4,42.98401216979647,90.1460372652907,92.08673224392216,15.08833511
STARLINK-5703,54,5,42.98475483849956,90.11775351085433,99.07310455328384,15.088383149999999
STARLINK-33772,54,6,42.9860307679139,90.44559225504548,106.08316599156976,15.08842988
STARLINK-33704,54,7,42.990308654294395,90.42678957698656,113.0738157472322,15.08836045
STARLINK-33661,54,8,43.009620467934354,90.34768577766017,141.3889897059536,15.08837411
STARLINK-33789,54,9,43.009640743360386,90.3373210329452,148.4238470411746,15.088066320000001
STARLINK-33826,54,10,43.010507582993895,90.33133999062983,155.4377753848485,15.088223659999999
STARLINK-31374,54,11,43.019320806027515,90.3811377938082,162.52121690347482,15.08841341
STARLINK-33856,54,12,43.02044742837903,90.30535545506541,169.65658311005419,15.08847248
STARLINK-33663,54,13,43.017512764139056,90.28799368671777,176.75874262502037,15.08827379
STARLINK-33854,54,14,43.01866612804921,90.29720451901947,183.78574007697483,15.0884014
STARLINK-33717,54,15,43.019714511862645,90.27865601807936,190.86735111871684,15.088389760000002
STARLINK-33810,54,16,43.019731587892956,90.26006911541849,197.94550470300396,15.08839308
STARLINK-33558,54,17,43.00956790742737,90.25430003275915,205.01241305230104,15.088379860000002
STARLINK-33684,54,18,42.99447572988178,90.190922959635,233.28049519729802,15.08841999
STARLINK-5697,54,19,42.998025096911576,90.46253261838963,303.6036539972724,15.08838048
STARLINK-5754,54,20,43.010147969758165,90.41379635426745,324.7038602223361,15.15412506
STARLINK-5762,54,21,43.0174547093061,90.39606171764373,338.718802657882,15.088402720000001
STARLINK-5729,54,22,43.02274046607965,90.35958827582844,359.9243614413788,15.088356550000002
STARLINK-33866,55,1,43.02238121186403,90.7083098706725,6.783955631319349,15.088362309999999
STARLINK-33873,55,2,43.0187326379226,90.69576638169103,13.877996896733258,15.088420639999999
STARLINK-33849,55,3,43.0161329398575,90.68427438545153,20.90327379893389,15.088502509999998
STARLINK-33822,55,4,43.01419082781442,90.66929754446147,28.012559265022823,15.08831817
STARLINK-33823,55,5,42.9989270550716,90.62803786098772,49.39174109584574,15.08840933
STARLINK-33835,55,6,42.99068102995466,90.58264376031795,63.58824466556663,15.088428380000002
STARLINK-33876,55,7,42.98089234803948,90.5140075350703,84.75854932124605,15.088366429999999
STARLINK-5736,55,8,43.001371548062274,90.8882243944312,126.7131984613571,15.088367260000002
STARLINK-5744,55,9,43.01755763357528,90.81688490432741,158.53648292552805,15.088404020000002
STARLINK-30227,55,10,43.01352956304408,90.53607999259542,204.40047605783062,15.088346920000001
STARLINK-5752,55,11,43.00989706414799,90.67047436883838,211.64573588433635,15.0887702
STARLINK-5728,55,12,43.00122395254386,90.6988328308452,226.23503844420605,15.088403989999998
STARLINK-31689,55,13,42.9871540287181,90.99044301317576,246.63982789536567,15.088401970000001
STARLINK-5727,55,14,42.98318699557394,90.5577763947146,254.03838466515032,15.08920227
STARLINK-5767,55,15,42.987328803270756,90.62629211143827,254.7858639158033,15.088374969999998
STARLINK-5760,55,16,42.984484665307875,90.60245379086388,261.7716614798877,15.08847025
STARLINK-31510,55,17,42.97891628792552,90.923126773438,267.8373939957109,15.088385969999997
STARLINK-5737,55,18,42.983490234539296,90.55872842458291,275.21928117577835,15.08842167
STARLINK-31470,55,19,42.982272909854196,90.87074640260396,281.9409679804072,15.088390039999998
STARLINK-33864,55,20,42.98251541479905,90.87407564200979,289.0304606121216,15.08838199
STARLINK-33879,55,21,42.99706264292054,90.81170972863413,310.2251788549552,15.08843695
STARLINK-33729,55,22,43.00079143112055,90.79757729721581,317.2955925132783,15.08833714
STARLINK-33836,55,23,43.01895005991953,90.74319628190072,345.57288380478326,15.088272030000002
STARLINK-33852,55,24,43.02018473776095,90.73265709377036,352.6540101485504,15.08842982
STARLINK-31471,57,1,43.02167076772511,94.14555010895211,2.3935162057249046,15.088418919999999
STARLINK-5749,57,2,43.0223302767429,93.76822734011343,9.494277935303831,15.08844414
STARLINK-31690,57,3,43.018992123836185,94.12063047189092,16.530349190211073,15.08835829
STARLINK-31697,57,4,43.01590189328689,94.09982936355509,23.614929766947437,15.088385109999999
